time_ms,weight_kg,sync
99538.0,-0.0125,0
99551.0,0.0121,0
99564.0,0.0,0
99578.0,0.0,0
99591.0,0.0035,0
99604.0,0.0067,0
99618.0,-0.034,0
99631.0,-0.0329,0
99644.0,-0.0338,0
99658.0,-0.0191,0
99671.0,0.0132,0
99684.0,-0.0098,0
99698.0,0.006,0
99711.0,0.006,0
99724.0,0.0058,0
99738.0,-0.0047,0
99751.0,-0.0339,0
99764.0,-0.0491,0
99778.0,-0.0268,0
99791.0,-0.0142,0
99804.0,-0.0024,0
99818.0,-0.0079,0
99831.0,0.0,0
99844.0,-0.0024,0
99858.0,-0.0243,0
99871.0,-0.0325,0
99884.0,-0.0209,0
99898.0,0.003,0
99911.0,0.0027,0
99924.0,-0.0227,0
99938.0,-0.0071,0
99951.0,-0.0081,0
99964.0,-0.0214,0
99978.0,-0.0498,0
99991.0,-0.0179,0
100004.0,-0.0328,0
100018.0,-0.0248,0
100031.0,-0.0167,0
100044.0,-0.0177,0
100058.0,0.006,0
100071.0,0.005,0
100084.0,-0.017,0
100098.0,-0.006,0
100111.0,-0.0094,0
100124.0,-0.0028,0
100138.0,-0.0024,0
100151.0,-0.0157,0
100164.0,-0.0387,0
100178.0,-0.0326,0
100191.0,-0.0119,0
100204.0,-0.0257,0
100218.0,-0.0143,0
100231.0,-0.0055,0
100244.0,-0.0183,0
100258.0,-0.0454,0
100271.0,-0.0343,0
100284.0,-0.0156,0
100298.0,-0.0321,0
100311.0,-0.0363,0
100324.0,-0.0296,0
100338.0,-0.0148,0
100351.0,0.0128,0
100364.0,0.0081,0
100378.0,-0.0343,0
100391.0,-0.0348,0
100404.0,-0.0057,0
100418.0,-0.0087,0
100431.0,0.006,0
100444.0,0.0111,0
100458.0,0.0142,0
100471.0,0.0169,0
100484.0,0.0122,0
100498.0,-0.017,0
100511.0,-0.0285,0
100524.0,-0.0119,0
100538.0,-0.0247,0
100551.0,-0.0174,0
100564.0,-0.0148,0
100578.0,-0.0058,0
100591.0,-0.0092,0
100604.0,-0.016,0
100618.0,0.0125,0
100631.0,0.0119,0
100644.0,-0.0104,0
100658.0,-0.0224,0
100671.0,-0.0138,0
100684.0,-0.0055,0
100698.0,0.0,0
100711.0,-0.0102,0
100724.0,-0.0196,0
100738.0,-0.0156,0
100751.0,0.0119,0
100764.0,-0.0096,0
100778.0,-0.0284,0
100791.0,-0.0319,0
100804.0,-0.0138,0
100818.0,-0.0084,0
100831.0,0.0,0
100844.0,-0.0128,0
100858.0,-0.0135,0
100871.0,-0.0119,0
100884.0,-0.0407,0
100898.0,-0.0306,0
100911.0,-0.0166,0
100924.0,-0.0238,0
100938.0,-0.0167,0
100951.0,-0.0207,0
100964.0,-0.0223,0
100978.0,-0.0326,0
100991.0,-0.0261,0
101004.0,-0.0089,0
101018.0,-0.0133,0
101031.0,-0.0111,0
101044.0,-0.0079,0
101058.0,-0.0251,0
101071.0,-0.0244,0
101098.0,0.0111,0
101111.0,0.0,0
101124.0,-0.0071,0
101138.0,0.0043,0
101151.0,-0.0084,0
101164.0,-0.0213,0
101178.0,-0.0126,0
101191.0,-0.0104,0
101204.0,-0.0194,0
101218.0,-0.0313,0
101231.0,-0.0085,0
101244.0,-0.0338,0
101258.0,-0.0216,0
101271.0,-0.0193,0
101284.0,-0.0409,0
101298.0,-0.0322,0
101311.0,-0.0311,0
101324.0,-0.0318,0
101339.0,-0.0199,0
101353.0,-0.0201,0
101366.0,-0.0149,0
101379.0,-0.0085,0
101393.0,-0.0279,0
101406.0,-0.0409,0
101419.0,-0.0352,0
101433.0,-0.0068,0
101446.0,0.0,0
101459.0,-0.0098,0
101473.0,-0.0118,0
101486.0,-0.0206,0
101499.0,-0.0267,0
101513.0,-0.0348,0
101526.0,-0.0199,0
101539.0,0.0087,0
101553.0,-0.0288,0
101566.0,-0.017,0
101579.0,-0.0043,0
101593.0,-0.0064,0
101606.0,-0.0238,0
101619.0,-0.0275,0
101633.0,-0.0129,0
101646.0,-0.0199,0
101659.0,-0.0177,0
101673.0,-0.0135,0
101686.0,-0.0072,0
101699.0,-0.0196,0
101713.0,-0.0248,0
101726.0,-0.0281,0
101739.0,-0.0061,0
101753.0,0.0099,0
101766.0,0.0078,0
101779.0,0.0,0
101793.0,0.004,0
101806.0,0.0,0
101819.0,-0.0048,0
101833.0,-0.0146,0
101846.0,-0.0148,0
101859.0,-0.0026,0
101873.0,-0.0172,0
101886.0,-0.0088,0
101899.0,-0.005,0
101913.0,-0.0062,0
101926.0,-0.0296,0
101939.0,-0.0098,0
101953.0,-0.0257,0
101966.0,-0.0306,0
101979.0,-0.0315,0
101993.0,-0.0265,0
102006.0,-0.0216,0
102019.0,0.0143,0
102033.0,0.0,0
102046.0,-0.0257,0
102059.0,-0.0302,0
102073.0,-0.0176,0
102086.0,-0.0193,0
102099.0,-0.0366,0
102113.0,-0.0294,0
102126.0,-0.026,0
102139.0,-0.0217,0
102153.0,-0.0346,0
102166.0,-0.0241,0
102179.0,-0.0196,0
102193.0,-0.0211,0
102206.0,-0.0087,0
102219.0,-0.0201,0
102233.0,-0.017,0
102246.0,-0.0048,0
102259.0,-0.0221,0
102273.0,-0.0108,0
102286.0,0.0074,0
102299.0,-0.0153,0
102313.0,-0.0149,0
102326.0,-0.0075,0
102339.0,-0.0472,0
102353.0,-0.0345,0
102366.0,-0.0132,0
102379.0,-0.0094,0
102393.0,-0.0129,0
102406.0,-0.0218,0
102419.0,0.0,0
102433.0,-0.0148,0
102446.0,-0.0176,0
102459.0,-0.0152,0
102473.0,-0.0155,0
102486.0,-0.0091,0
102499.0,-0.0194,0
102513.0,-0.0074,0
102526.0,-0.019,0
102539.0,-0.0349,0
102553.0,-0.0454,0
102566.0,-0.022,0
102579.0,-0.0216,0
102593.0,0.0037,0
102606.0,0.0146,0
102619.0,0.0062,0
102633.0,0.0031,0
102646.0,-0.0128,0
102659.0,0.0054,0
102673.0,-0.019,0
102686.0,-0.0172,0
102699.0,-0.0217,0
102713.0,-0.0288,0
102726.0,0.0041,0
102739.0,0.0034,0
102753.0,-0.013,0
102766.0,-0.016,0
