time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
911799.0,-0.017,0.01,-0.018,22.94,137.38,0
911804.0,-0.017,0.018,0.025,30.29,33.52,0
911809.0,-0.002,0.01,-0.023,24.34,174.41,0
911814.0,-0.024,0.025,0.013,42.35,61.18,0
911819.0,-0.017,0.018,-0.023,31.89,143.97,0
911824.0,0.007,0.037,0.008,73.2,-41.5,0
911829.0,-0.007,-0.018,0.015,-47.19,24.4,0
911834.0,-0.005,-0.011,0.004,-62.53,52.82,0
911839.0,-0.017,0.01,0.011,27.72,57.21,0
911844.0,0.0,0.008,-0.04,11.4,-179.77,0
911849.0,0.0,0.022,0.015,55.28,-0.59,0
911854.0,-0.012,-0.018,-0.025,-33.39,154.9,0
911859.0,-0.007,-0.026,-0.008,-66.71,140.3,0
911864.0,0.017,0.015,0.032,22.61,-27.69,0
911869.0,0.01,-0.023,0.037,-31.15,-14.73,0
911874.0,0.0,-0.006,0.018,-19.65,-0.51,0
911879.0,0.017,-0.009,-0.016,-20.86,-132.76,0
911884.0,0.005,0.01,-0.018,29.02,-164.66,0
911889.0,0.007,-0.009,-0.006,-42.67,-129.56,0
911894.0,0.007,-0.009,0.027,-17.17,-14.97,0
911899.0,-0.002,0.001,0.02,2.24,6.29,0
911904.0,-0.021,0.008,-0.02,15.1,133.69,0
911909.0,-0.014,0.03,0.004,63.64,76.12,0
911914.0,-0.017,0.018,-0.011,41.52,123.18,0
911919.0,0.019,0.001,0.025,1.45,-37.62,0
911924.0,0.005,0.022,0.004,74.81,-54.65,0
911929.0,-0.002,-0.006,0.03,-12.04,4.28,0
911934.0,0.003,-0.004,-0.018,-12.36,-171.94,0
911939.0,-0.019,0.022,-0.013,43.98,124.9,0
911944.0,-0.002,0.015,0.042,19.9,3.06,0
911949.0,-0.007,-0.018,-0.061,-16.61,173.45,0
911954.0,0.012,-0.006,0.018,-16.46,-34.16,0
911959.0,0.003,0.003,0.027,6.6,-5.31,0
911964.0,-0.031,-0.002,0.018,-2.56,60.0,0
911969.0,0.003,0.008,-0.004,60.73,-145.18,0
911974.0,-0.019,0.013,0.006,32.7,72.73,0
911979.0,-0.012,0.01,-0.032,16.74,159.97,0
911984.0,0.003,-0.026,-0.018,-54.5,-171.94,0
911989.0,-0.007,0.015,0.006,58.82,49.94,0
911994.0,-0.002,0.01,0.037,15.63,3.45,0
911999.0,-0.014,-0.002,0.001,-6.39,85.51,0
912004.0,-0.007,-0.002,0.013,-6.13,28.22,0
912009.0,-0.033,0.025,0.001,36.55,88.08,0
912014.0,-0.002,-0.004,0.006,-32.29,20.73,0
912019.0,0.005,0.008,0.02,20.93,-13.72,0
912024.0,0.0,0.015,-0.018,40.05,-179.49,0
912029.0,-0.036,0.008,-0.052,7.25,145.26,0
912034.0,0.022,-0.047,-0.028,-53.28,-141.83,0
912039.0,-0.014,-0.023,0.004,-57.7,76.12,0
912044.0,0.007,0.018,0.015,45.7,-25.37,0
912049.0,0.0,0.006,0.015,19.84,-0.59,0
912054.0,0.01,-0.004,0.006,-19.31,-58.76,0
912059.0,-0.024,-0.002,0.013,-3.36,61.18,0
912064.0,0.0,-0.011,-0.028,-22.03,-179.67,0
912069.0,-0.005,0.003,-0.011,15.14,156.91,0
912074.0,0.003,0.027,0.001,84.14,-66.38,0
912079.0,-0.012,-0.011,0.004,-42.2,73.45,0
912084.0,0.026,-0.002,0.008,-3.29,-72.61,0
912089.0,0.003,-0.028,-0.018,-56.89,-171.94,0
912094.0,-0.014,0.003,0.013,9.39,47.35,0
912099.0,-0.007,0.003,0.008,16.36,40.24,0
912104.0,-0.002,-0.023,0.001,-83.84,63.45,0
912109.0,-0.012,0.037,0.013,64.35,42.07,0
