time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
1445745.0,-0.006,0.021,0.009,62.8,31.04,0
1445750.0,-0.001,0.005,-0.0,79.09,100.34,0
1445755.0,0.021,0.017,0.009,36.16,-65.51,0
1445760.0,0.016,-0.015,0.014,-34.28,-48.19,0
1445765.0,-0.001,0.005,0.007,33.19,7.13,0
1445770.0,-0.003,-0.012,-0.024,-26.51,172.27,0
1445775.0,-0.001,-0.034,0.033,-45.26,1.51,0
1445780.0,-0.013,0.019,-0.026,32.82,154.13,0
1445785.0,-0.022,0.012,0.014,23.99,57.65,0
1445790.0,0.004,-0.01,0.002,-65.18,-60.27,0
1445795.0,-0.018,-0.026,-0.005,-55.34,105.67,0
1445800.0,-0.006,-0.012,-0.003,-62.87,114.27,0
1445805.0,0.025,0.031,-0.003,50.43,-95.73,0
1445810.0,0.025,-0.019,0.041,-21.97,-32.13,0
1445815.0,-0.013,0.009,0.002,35.83,80.14,0
1445820.0,-0.003,0.019,-0.0,80.21,92.8,0
1445825.0,0.004,-0.01,-0.007,-49.49,-151.96,0
1445830.0,-0.006,0.017,0.019,39.95,16.61,0
1445835.0,-0.003,-0.012,-0.01,-49.74,161.43,0
1445840.0,0.004,0.021,-0.012,59.21,-162.13,0
1445845.0,0.004,-0.012,-0.007,-55.56,-151.96,0
1445850.0,0.023,0.002,0.038,2.87,-31.16,0
1445855.0,-0.02,-0.0,-0.031,-0.25,147.37,0
1445860.0,0.023,0.009,0.002,22.12,-84.47,0
1445865.0,0.016,0.007,-0.024,13.68,-146.62,0
1445870.0,-0.025,-0.012,-0.012,-23.71,116.05,0
1445875.0,0.009,0.005,0.021,11.34,-22.13,0
1445880.0,-0.027,-0.005,0.021,-8.14,51.84,0
1445885.0,0.004,-0.01,-0.058,-9.57,-176.12,0
1445890.0,0.011,0.017,-0.005,53.81,-114.04,0
1445895.0,0.004,-0.0,0.009,-0.9,-22.55,0
1445900.0,0.013,-0.015,-0.026,-26.04,-153.02,0
1445905.0,-0.006,0.009,0.014,31.62,21.75,0
1445910.0,0.018,-0.0,0.033,-0.24,-28.72,0
1445915.0,0.009,0.026,-0.012,60.3,-144.36,0
