time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
0.000000,video,,,,,,,,-0.079910,104.760196,0
0.016665,video,,,,,,,,0.723190,104.183957,0
0.049995,video,,,,,,,,0.551662,106.226107,0
0.066660,video,,,,,,,,1.195149,105.075170,0
0.083325,video,,,,,,,,0.559355,104.765086,0
0.099990,video,,,,,,,,0.555482,105.495596,0
0.133320,video,,,,,,,,0.560920,104.472882,0
0.149985,video,,,,,,,,0.554714,105.641698,0
0.166651,video,,,,,,,,1.520062,104.650812,0
0.183316,video,,,,,,,,0.398434,105.054852,0
0.216646,video,,,,,,,,0.554714,105.641698,0
0.233311,video,,,,,,,,0.398434,105.054852,0
0.249976,video,,,,,,,,0.160044,104.614393,0
0.266641,video,,,,,,,,0.400104,104.616535,0
0.283306,video,,,,,,,,0.396230,105.639273,0
0.299971,video,,,,,,,,-0.080134,104.467978,0
0.333301,video,,,,,,,,0.399546,104.762641,0
0.349966,video,,,,,,,,0.550148,106.518311,0
0.366631,video,,,,,,,,0.397329,105.347062,0
0.383296,video,,,,,,,,0.399546,104.762641,0
0.399961,video,,,,,,,,-2.193235,103.082300,0
0.416626,video,,,,,,,,0.398434,105.054852,0
0.449956,video,,,,,,,,0.710242,106.083224,0
0.466622,video,,,,,,,,0.554714,105.641698,0
0.483287,video,,,,,,,,1.358223,104.789535,0
0.499952,video,,,,,,,,0.396230,105.639273,0
0.516617,video,,,,,,,,1.520062,104.650812,0
0.533282,video,,,,,,,,0.725224,103.891762,0
0.549947,video,,,,,,,,0.561705,104.326780,0
0.566612,video,,,,,,,,1.358223,104.789535,0
0.583277,video,,,,,,,,0.160044,104.614393,0
0.599942,video,,,,,,,,0.394050,106.223695,0
0.616607,video,,,,,,,,0.393509,106.369800,0
0.633272,video,,,,,,,,0.632204,105.935414,0
0.649937,video,,,,,,,,0.554714,105.641698,0
0.666602,video,,,,,,,,0.632204,105.935414,0
0.683267,video,,,,,,,,0.715167,105.352736,0
0.699932,video,,,,,,,,0.080022,104.614087,0
0.716597,video,,,,,,,,0.560920,104.472882,0
0.733262,video,,,,,,,,0.710242,106.083224,0
0.749927,video,,,,,,,,0.560920,104.472882,0
0.766593,video,,,,,,,,0.554714,105.641698,0
0.783258,video,,,,,,,,0.633952,105.643214,0
0.799923,video,,,,,,,,0.553183,105.933902,0
0.816588,video,,,,,,,,0.080022,104.614087,0
