time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
1105398.0,-0.022,0.009,0.013,19.68,58.73,0
1105403.0,-0.014,-0.029,0.023,-47.5,32.37,0
1105408.0,-0.029,0.004,-0.006,8.2,101.92,0
1105413.0,-0.005,0.021,-0.032,32.65,171.59,0
1105418.0,0.024,0.004,0.039,5.24,-31.27,0
1105423.0,-0.002,0.021,0.018,49.33,7.63,0
1105428.0,0.007,0.004,0.011,18.18,-33.89,0
1105433.0,0.012,-0.017,0.018,-38.83,-33.81,0
1105438.0,0.024,-0.008,0.027,-12.0,-41.09,0
1105443.0,0.017,0.021,-0.02,38.46,-140.64,0
1105448.0,0.012,0.009,-0.013,26.8,-137.9,0
1105453.0,0.014,-0.008,0.032,-12.37,-24.02,0
1105458.0,-0.005,-0.015,0.042,-19.52,6.53,0
1105463.0,0.005,-0.003,-0.011,-13.98,-156.19,0
1105468.0,-0.026,0.007,0.001,14.11,87.57,0
1105473.0,0.014,-0.001,0.011,-1.79,-53.33,0
1105478.0,-0.002,0.004,0.008,26.09,16.09,0
1105483.0,0.002,-0.015,0.025,-30.66,-5.46,0
1105488.0,-0.002,0.038,-0.004,83.38,146.89,0
1105493.0,0.012,0.031,0.001,68.53,-84.67,0
1105498.0,0.014,0.004,-0.023,8.91,-147.81,0
1105503.0,-0.005,0.002,-0.013,7.42,160.13,0
1105508.0,0.0,-0.015,0.032,-24.84,0.0,0
1105513.0,-0.002,0.009,0.015,29.93,8.79,0
1105518.0,0.002,-0.01,0.025,-21.93,-5.46,0
1105523.0,0.01,-0.015,0.027,-27.17,-19.23,0
1105528.0,0.01,0.019,0.006,58.82,-58.34,0
1105533.0,0.024,0.014,-0.028,20.7,-139.07,0
1105538.0,0.029,-0.02,0.018,-30.22,-58.11,0
1105543.0,0.005,-0.022,-0.004,-74.73,-127.47,0
1105548.0,0.01,0.004,-0.013,14.51,-144.14,0
1105553.0,0.019,-0.001,0.015,-1.3,-51.05,0
1105558.0,-0.01,0.016,0.02,35.85,25.29,0
1105563.0,0.012,0.021,0.013,49.8,-42.45,0
1105568.0,0.012,-0.005,0.004,-23.2,-73.65,0
1105573.0,0.029,0.004,-0.02,6.84,-125.42,0
1105578.0,-0.012,0.002,-0.011,6.48,132.2,0
1105583.0,-0.002,-0.01,-0.032,-17.33,175.77,0
1105588.0,-0.005,-0.01,0.008,-46.61,29.98,0
1105593.0,-0.012,0.019,0.023,35.96,27.84,0
1105598.0,0.019,0.016,-0.023,28.53,-140.0,0
1105603.0,0.0,-0.013,-0.023,-28.76,-180.0,0
1105608.0,0.0,0.023,0.047,26.64,0.0,0
1105613.0,0.024,-0.027,-0.001,-48.28,-93.05,0
1105618.0,0.022,-0.01,-0.008,-23.65,-111.43,0
1105623.0,-0.017,-0.015,-0.001,-41.6,94.36,0
1105628.0,0.012,-0.008,0.025,-15.58,-25.53,0
1105633.0,0.002,0.033,0.006,79.06,-22.07,0
1105638.0,-0.019,-0.01,0.049,-10.9,21.35,0
1105643.0,0.007,-0.015,0.004,-61.82,-63.95,0
1105648.0,0.005,-0.015,-0.006,-62.62,-141.71,0
1105653.0,0.005,-0.01,0.032,-17.27,-8.45,0
1105658.0,0.012,0.009,-0.047,10.58,-165.64,0
1105663.0,0.007,-0.025,0.03,-38.59,-13.53,0
1105668.0,-0.038,0.011,-0.018,15.08,115.21,0
1105673.0,0.01,-0.015,-0.013,-42.39,-144.14,0
1105678.0,-0.017,-0.015,0.013,-35.06,52.01,0
1105683.0,0.007,-0.02,0.023,-39.66,-17.58,0
1105688.0,0.014,0.023,0.004,57.69,-76.26,0
1105693.0,0.005,0.004,0.035,6.9,-7.87,0
1105698.0,-0.005,0.031,0.013,65.49,20.1,0
1105703.0,-0.031,0.016,-0.004,27.34,96.73,0
1105708.0,0.01,0.004,-0.011,16.29,-138.58,0
1105713.0,0.005,0.004,-0.001,40.48,-104.93,0
1105718.0,0.022,-0.02,0.004,-42.08,-80.74,0
1105723.0,-0.007,0.011,0.018,30.64,21.89,0
1105728.0,0.002,-0.008,-0.013,-29.9,-169.76,0
1105733.0,-0.024,-0.032,-0.008,-51.29,109.46,0
1105738.0,0.007,0.028,0.013,62.08,-28.76,0
1105743.0,0.024,-0.003,0.011,-6.42,-65.93,0
1105748.0,-0.002,-0.01,0.013,-37.3,10.37,0
1105753.0,-0.002,0.011,-0.028,22.38,175.04,0
1105758.0,0.012,0.009,-0.011,29.17,-132.2,0
1105763.0,-0.007,-0.02,-0.02,-42.31,160.63,0
1105768.0,0.029,0.009,0.015,15.45,-61.68,0
