time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
677801.0,-0.001,-0.037,-0.006,-80.83,166.89,0
677806.0,-0.018,-0.001,0.013,-2.84,53.66,0
677811.0,0.018,-0.035,0.001,-62.74,-85.64,0
677816.0,-0.013,-0.018,-0.013,-43.83,134.3,0
677821.0,-0.001,-0.006,0.032,-10.3,2.39,0
677826.0,0.001,0.006,-0.003,59.42,-163.18,0
677831.0,-0.018,-0.008,-0.013,-20.41,125.68,0
677836.0,0.025,-0.008,-0.003,-18.22,-97.82,0
677841.0,0.011,0.006,0.042,7.96,-14.16,0
677846.0,-0.016,-0.004,-0.037,-5.0,156.95,0
677851.0,0.011,0.011,-0.018,27.65,-149.19,0
677856.0,0.006,0.013,0.004,62.39,-57.22,0
677861.0,0.011,0.025,-0.008,61.97,-127.75,0
677866.0,0.018,-0.015,-0.02,-29.91,-138.61,0
677871.0,0.006,0.032,0.011,69.08,-28.05,0
677876.0,-0.001,-0.006,0.028,-12.02,2.8,0
677881.0,0.027,0.016,0.032,20.22,-40.12,0
677886.0,-0.011,-0.018,-0.02,-37.9,151.56,0
677891.0,0.023,0.013,0.004,30.06,-80.57,0
677896.0,0.003,0.008,0.006,50.24,-29.18,0
677901.0,-0.032,0.004,0.006,6.34,79.29,0
677906.0,0.011,0.011,0.021,25.17,-27.36,0
677911.0,-0.021,-0.018,0.016,-34.67,52.53,0
677916.0,-0.009,-0.006,-0.015,-18.54,150.99,0
677921.0,-0.018,-0.001,-0.006,-3.36,107.82,0
677926.0,0.025,-0.011,-0.001,-23.16,-92.38,0
677931.0,-0.004,0.004,0.004,34.68,44.99,0
677936.0,-0.016,-0.02,-0.003,-51.56,102.31,0
677941.0,0.023,-0.025,0.016,-42.32,-55.16,0
677946.0,-0.013,-0.006,-0.049,-6.64,164.76,0
677951.0,0.006,0.018,0.021,40.23,-15.86,0
677956.0,0.015,0.028,-0.027,41.32,-150.63,0
677961.0,-0.001,0.011,-0.027,21.6,177.16,0
677966.0,-0.001,0.004,-0.027,7.63,177.16,0
677971.0,-0.032,0.016,0.011,24.53,71.4,0
677976.0,0.008,0.016,0.006,56.73,-53.22,0
677981.0,-0.006,0.006,-0.006,35.62,133.47,0
677986.0,0.02,0.001,0.018,2.69,-48.1,0
677991.0,0.018,-0.011,0.047,-12.05,-20.8,0
677996.0,0.011,-0.015,0.006,-51.61,-59.93,0
678001.0,0.013,0.008,-0.001,32.95,-94.56,0
678006.0,-0.025,-0.004,-0.003,-7.83,97.72,0
