time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
234546.0,-2.6088,0.3304,0.996,9.912,5.735,-1.909,0
234596.0,-2.6126,0.3496,0.972,9.7875,5.668,-2.045,0
234646.0,-2.6037,0.3304,0.9481,9.8306,5.506,-1.925,0
234696.0,-2.6037,0.3496,0.9481,9.8306,5.505,-2.036,0
234746.0,-2.5323,0.3543,0.9529,9.821,5.538,-2.066,0
234796.0,-2.4433,0.3208,0.9337,9.8497,5.413,-1.866,0
234846.0,-2.4817,0.3496,0.9098,9.8306,5.284,-2.036,0
234896.0,-2.5126,0.3017,0.9577,9.8593,5.545,-1.753,0
234946.0,-2.634,0.34,0.9577,9.8019,5.577,-1.987,0
234996.0,-2.5757,0.3352,0.9146,9.8402,5.307,-1.951,0
235046.0,-2.607,0.3304,0.9577,9.8641,5.542,-1.918,0
235096.0,-2.6423,0.316,0.9242,9.8402,5.363,-1.84,0
235146.0,-2.5272,0.3352,0.9146,9.8785,5.287,-1.943,0
235196.0,-2.4284,0.3304,0.9816,9.8067,5.713,-1.93,0
235246.0,-2.4877,0.3496,0.9816,9.8928,5.663,-2.024,0
235296.0,-2.4684,0.3256,0.9816,9.8162,5.707,-1.9,0
235346.0,-2.6196,0.316,0.9194,9.8545,5.327,-1.837,0
235396.0,-2.5977,0.3017,0.9768,9.8497,5.661,-1.754,0
235446.0,-2.5784,0.3639,0.9242,9.8067,5.38,-2.125,0
235496.0,-2.6305,0.3496,0.9768,9.8354,5.668,-2.035,0
235546.0,-2.5648,0.3256,0.9673,9.8019,5.633,-1.903,0
235596.0,-2.4623,0.3352,0.9673,9.8737,5.592,-1.944,0
235646.0,-2.5183,0.3208,0.9529,9.7875,5.558,-1.877,0
235696.0,-2.4631,0.3112,0.9481,9.7971,5.525,-1.82,0
235746.0,-2.4729,0.3543,0.9481,9.845,5.497,-2.061,0
235796.0,-2.5596,0.3208,0.9625,9.8019,5.605,-1.875,0
235846.0,-2.6258,0.3496,0.9625,9.8067,5.602,-2.041,0
235896.0,-2.605,0.34,0.9242,9.8689,5.347,-1.973,0
235946.0,-2.5489,0.3065,0.9337,9.8497,5.413,-1.782,0
235996.0,-2.4651,0.3304,0.9577,9.821,5.566,-1.927,0
236046.0,-2.5061,0.3304,0.9529,9.8737,5.509,-1.917,0
236096.0,-2.4678,0.3783,0.9577,9.8737,5.536,-2.194,0
236146.0,-2.4511,0.3352,0.9529,9.7971,5.552,-1.96,0
236196.0,-2.5254,0.316,0.9242,9.7492,5.412,-1.857,0
236246.0,-2.6434,0.3352,0.9673,9.821,5.622,-1.955,0
236296.0,-2.6104,0.3352,0.9816,9.8354,5.696,-1.952,0
236346.0,-2.6221,0.3448,0.9337,9.845,5.415,-2.006,0
236396.0,-2.6037,0.3448,0.9577,9.8306,5.561,-2.009,0
236446.0,-2.5343,0.34,0.9625,9.8067,5.602,-1.986,0
236496.0,-2.456,0.3496,0.9242,9.8162,5.375,-2.039,0
236546.0,-2.4441,0.3112,0.9337,9.7731,5.455,-1.824,0
236596.0,-2.5055,0.3448,0.9481,9.8306,5.505,-2.009,0
236646.0,-2.5055,0.3304,0.9337,9.8641,5.405,-1.918,0
236696.0,-2.5901,0.3256,0.9433,9.8162,5.486,-1.9,0
236746.0,-2.6104,0.316,0.929,9.845,5.388,-1.839,0
236796.0,-2.6111,0.3065,0.9337,9.8689,5.402,-1.779,0
236846.0,-2.5536,0.3256,0.9673,9.7779,5.646,-1.907,0
236896.0,-2.4626,0.3496,0.9385,9.7588,5.49,-2.051,0
236946.0,-2.4716,0.3304,0.905,9.845,5.249,-1.922,0
236996.0,-2.4996,0.3208,0.9337,9.8114,5.433,-1.873,0
237046.0,-2.456,0.3639,0.9337,9.845,5.414,-2.117,0
237096.0,-2.5959,0.3496,0.9577,9.8402,5.555,-2.034,0
237146.0,-2.5716,0.3496,0.9577,9.8497,5.55,-2.032,0
237196.0,-2.6282,0.3496,0.9577,9.8258,5.563,-2.037,0
237246.0,-2.565,0.3017,0.9529,9.7923,5.555,-1.765,0
237296.0,-2.4626,0.2634,0.9385,9.8641,5.433,-1.529,0
237346.0,-2.5035,0.3352,0.8954,9.8737,5.179,-1.944,0
237396.0,-2.4885,0.3352,0.9529,9.8545,5.52,-1.948,0
237446.0,-2.4538,0.316,0.9577,9.8258,5.564,-1.842,0
237496.0,-2.574,0.3256,0.8906,9.7588,5.212,-1.911,0
237546.0,-2.6116,0.3112,0.9385,9.8545,5.438,-1.809,0
237596.0,-2.6478,0.3448,0.8906,9.7971,5.191,-2.015,0
237646.0,-2.5769,0.3687,0.9385,9.7588,5.49,-2.164,0
237696.0,-2.6655,0.3065,0.9864,9.8306,5.727,-1.786,0
237746.0,-2.5067,0.3496,0.972,9.8593,5.627,-2.031,0
237796.0,-2.482,0.316,0.996,9.8019,5.799,-1.847,0
237846.0,-2.4516,0.3591,0.9529,9.7636,5.57,-2.107,0
237896.0,-2.546,0.3256,0.9481,9.8354,5.503,-1.896,0
237946.0,-2.6496,0.3208,0.9098,9.7348,5.336,-1.888,0
237996.0,-2.5946,0.3304,0.9864,9.8162,5.735,-1.928,0
238046.0,-2.5496,0.3112,0.9481,9.821,5.511,-1.815,0
238096.0,-2.6291,0.3831,0.9529,9.8067,5.546,-2.237,0
238146.0,-2.5087,0.3448,0.9625,9.7923,5.61,-2.016,0
238196.0,-2.4599,0.316,0.9242,9.8306,5.368,-1.841,0
238246.0,-2.4637,0.3208,0.9816,9.8928,5.664,-1.857,0
238296.0,-2.5362,0.3304,0.9146,9.821,5.317,-1.927,0
238346.0,-2.456,0.3543,0.9768,9.821,5.676,-2.066,0
238396.0,-2.619,0.3256,0.9816,9.8019,5.716,-1.903,0
238446.0,-2.6082,0.34,0.9673,9.8497,5.605,-1.977,0
238496.0,-2.6089,0.34,0.9529,9.7875,5.557,-1.989,0
238546.0,-2.523,0.3304,0.905,9.845,5.249,-1.922,0
238596.0,-2.6174,0.3496,0.9337,9.7827,5.449,-2.046,0
238646.0,-2.4742,0.3112,0.9481,9.8593,5.49,-1.808,0
238696.0,-2.5146,0.3543,0.9194,9.845,5.332,-2.061,0
238746.0,-2.4601,0.3304,0.9577,9.7779,5.591,-1.935,0
238796.0,-2.6054,0.3448,0.9577,9.8497,5.55,-2.005,0
238846.0,-2.5957,0.3496,0.972,9.845,5.635,-2.033,0
238896.0,-2.6467,0.3304,0.9433,9.845,5.47,-1.922,0
238946.0,-2.547,0.3112,0.9625,9.8354,5.586,-1.813,0
238996.0,-2.6037,0.3352,0.9625,9.8497,5.578,-1.949,0
239046.0,-2.4538,0.3304,0.9625,9.8114,5.599,-1.929,0
239096.0,-2.4756,0.3352,0.9481,9.8402,5.5,-1.951,0
239146.0,-2.4739,0.3304,0.9337,9.845,5.415,-1.922,0
239196.0,-2.5464,0.3591,0.9146,9.8593,5.296,-2.086,0
239246.0,-2.6153,0.3687,0.9337,9.8545,5.409,-2.143,0
239296.0,-2.6248,0.3208,0.9481,9.7923,5.527,-1.877,0
239346.0,-2.5647,0.3543,0.9242,9.821,5.372,-2.066,0
239396.0,-2.6461,0.3687,0.9433,9.8593,5.461,-2.142,0
239446.0,-2.4923,0.3496,0.905,9.8737,5.234,-2.028,0
239496.0,-2.4766,0.316,0.9864,9.8785,5.699,-1.832,0
239546.0,-2.4539,0.3591,0.9625,9.8258,5.591,-2.093,0
239596.0,-2.5326,0.3687,0.905,9.8881,5.226,-2.135,0
239646.0,-2.5113,0.3304,0.9433,9.8402,5.473,-1.923,0
239696.0,-2.6397,0.3687,0.9529,9.8354,5.53,-2.147,0
239746.0,-2.5662,0.3496,0.972,9.7827,5.671,-2.046,0
239796.0,-2.6105,0.3448,0.9481,9.8019,5.521,-2.014,0
239846.0,-2.4884,0.3448,0.9481,9.8114,5.516,-2.012,0
239896.0,-2.4848,0.34,0.9337,9.7683,5.457,-1.993,0
239946.0,-2.4706,0.34,0.9912,9.8114,5.765,-1.985,0
239996.0,-2.5234,0.316,0.9816,9.8928,5.664,-1.83,0
240046.0,-2.4888,0.3256,0.972,9.8162,5.652,-1.9,0
240096.0,-2.586,0.3208,0.9529,9.7875,5.558,-1.877,0
240146.0,-2.5855,0.3591,0.9768,9.8162,5.679,-2.095,0
240196.0,-2.638,0.3256,0.9529,9.821,5.539,-1.899,0
240246.0,-2.5062,0.3304,0.9433,9.8114,5.489,-1.929,0
240296.0,-2.6067,0.3543,0.9242,9.8402,5.362,-2.062,0
240346.0,-2.478,0.3591,0.9577,9.8497,5.55,-2.088,0
240396.0,-2.5414,0.3304,0.9385,9.8545,5.437,-1.92,0
240446.0,-2.4624,0.3448,0.9816,9.8162,5.707,-2.012,0
240496.0,-2.5922,0.3208,0.9912,9.8258,5.757,-1.87,0
240546.0,-2.5953,0.3448,0.9481,9.8162,5.513,-2.012,0
240596.0,-2.6123,0.3352,0.9433,9.8545,5.465,-1.948,0
240646.0,-2.5044,0.3208,0.9816,9.8067,5.713,-1.874,0
240696.0,-2.6233,0.34,0.929,9.8019,5.411,-1.987,0
240746.0,-2.4657,0.3496,0.9002,9.8928,5.196,-2.024,0
240796.0,-2.4948,0.3448,0.972,9.8497,5.633,-2.005,0
240846.0,-2.453,0.3352,0.9529,9.8354,5.531,-1.952,0
240896.0,-2.56,0.3783,0.9433,9.821,5.482,-2.206,0
240946.0,-2.5071,0.3448,0.9529,9.8306,5.533,-2.009,0
240996.0,-2.6431,0.3017,0.9577,9.8258,5.564,-1.759,0
241046.0,-2.5657,0.3591,0.9816,9.754,5.743,-2.109,0
241096.0,-2.6443,0.316,0.972,9.8593,5.628,-1.836,0
