0.012,-0.016,0.028,-27.59,-22.75,0
-0.012,-0.016,-0.001,-52.74,92.64,0
-0.003,-0.028,0.014,-63.31,10.48,0
-0.005,-0.023,0.014,-57.64,19.72,0
0.002,-0.014,0.014,-44.13,-9.19,0
-0.005,-0.004,-0.048,-4.68,174.17,0
-0.007,0.008,-0.013,28.79,149.63,0
-0.012,-0.014,-0.003,-47.38,103.68,0
0.024,-0.016,0.004,-33.46,-79.92,0
0.005,0.03,-0.01,69.32,-155.46,0
0.024,0.022,-0.003,43,-97.08,0
0.019,0.001,0.011,2.06,-59,0
0.005,0.013,-0.044,16.22,-173.95,0
-0,0.018,-0.001,88.1,164.08,0
0.012,0.008,0.043,10.25,-15.52,0
0.029,0.008,-0.015,13.91,-117.58,0
0.007,0.001,-0.008,4.37,-137.79,0
-0.005,-0.002,-0.022,-4.03,167.38,0
0.024,0.013,-0.015,24.45,-122.11,0
-0,-0.018,-0.013,-55.68,179.27,0
0.019,-0.011,0.014,-25.45,-53.99,0
-0.01,-0.023,0.014,-53.87,35.19,0
0.005,-0.018,-0.001,-75.75,-96.9,0
0.002,0.015,-0.013,49.99,-169.89,0
-0.015,-0.009,0.021,-18.98,34.68,0
0.036,-0.006,0.038,-7,-43.45,0
-0.005,-0.009,-0.027,-17.8,169.58,0
-0,-0.014,0.019,-36.12,0.49,0
-0.003,-0.006,0.011,-28.63,12.61,0
0.002,-0.004,-0.01,-21.03,-167.57,0
-0.005,0.013,0.026,25.94,10.87,0
-0,0.027,0.045,31.13,0.2,0
0.026,-0.004,0.002,-8.65,-85.99,0
0.009,0.02,0.026,36.02,-20.07,0
-0.029,0.01,0.023,15.6,51.01,0
-0.003,0.015,0.05,16.94,2.94,0
0.024,-0.002,0.002,-3.83,-85.59,0
-0,0.041,-0.001,89.2,164.08,0
-0,-0.006,0.016,-21.51,0.56,0
0.021,-0.006,0.033,-9.23,-32.98,0
0.009,0.027,0.043,31.92,-12.48,0
-0.003,-0.014,0.05,-15.24,2.94,0
0.033,-0.014,-0.015,-20.37,-114.1,0
0.012,-0.045,0.009,-71.61,-52.64,0
0.012,-0.047,0.031,-55.17,-21.13,0
0.005,0.01,-0.027,20.81,-170.24,0
