time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
99536.0,0.012,-0.016,0.028,-27.59,-22.75,0
99541.0,-0.012,-0.016,-0.001,-52.74,92.64,0
99546.0,-0.003,-0.028,0.014,-63.31,10.48,0
99551.0,-0.005,-0.023,0.014,-57.64,19.72,0
99556.0,0.002,-0.014,0.014,-44.13,-9.19,0
99561.0,-0.005,-0.004,-0.048,-4.68,174.17,0
99566.0,-0.007,0.008,-0.013,28.79,149.63,0
99571.0,-0.012,-0.014,-0.003,-47.38,103.68,0
99576.0,0.024,-0.016,0.004,-33.46,-79.92,0
99581.0,0.005,0.03,-0.01,69.32,-155.46,0
99586.0,0.024,0.022,-0.003,43.0,-97.08,0
99591.0,0.019,0.001,0.011,2.06,-59.0,0
99596.0,0.005,0.013,-0.044,16.22,-173.95,0
99601.0,-0.0,0.018,-0.001,88.1,164.08,0
99606.0,0.012,0.008,0.043,10.25,-15.52,0
99611.0,0.029,0.008,-0.015,13.91,-117.58,0
99616.0,0.007,0.001,-0.008,4.37,-137.79,0
99621.0,-0.005,-0.002,-0.022,-4.03,167.38,0
99626.0,0.024,0.013,-0.015,24.45,-122.11,0
99631.0,-0.0,-0.018,-0.013,-55.68,179.27,0
99636.0,0.019,-0.011,0.014,-25.45,-53.99,0
99641.0,-0.01,-0.023,0.014,-53.87,35.19,0
99646.0,0.005,-0.018,-0.001,-75.75,-96.9,0
99651.0,0.002,0.015,-0.013,49.99,-169.89,0
99656.0,-0.015,-0.009,0.021,-18.98,34.68,0
99661.0,0.036,-0.006,0.038,-7.0,-43.45,0
99666.0,-0.005,-0.009,-0.027,-17.8,169.58,0
99671.0,-0.0,-0.014,0.019,-36.12,0.49,0
99676.0,-0.003,-0.006,0.011,-28.63,12.61,0
99681.0,0.002,-0.004,-0.01,-21.03,-167.57,0
99686.0,-0.005,0.013,0.026,25.94,10.87,0
99691.0,-0.0,0.027,0.045,31.13,0.2,0
99696.0,0.026,-0.004,0.002,-8.65,-85.99,0
99701.0,0.009,0.02,0.026,36.02,-20.07,0
99706.0,-0.029,0.01,0.023,15.6,51.01,0
99711.0,-0.003,0.015,0.05,16.94,2.94,0
99716.0,0.024,-0.002,0.002,-3.83,-85.59,0
99721.0,-0.0,0.041,-0.001,89.2,164.08,0
99726.0,-0.0,-0.006,0.016,-21.51,0.56,0
99731.0,0.021,-0.006,0.033,-9.23,-32.98,0
99736.0,0.009,0.027,0.043,31.92,-12.48,0
99741.0,-0.003,-0.014,0.05,-15.24,2.94,0
99746.0,0.033,-0.014,-0.015,-20.37,-114.1,0
99751.0,0.012,-0.045,0.009,-71.61,-52.64,0
99756.0,0.012,-0.047,0.031,-55.17,-21.13,0
99761.0,0.005,0.01,-0.027,20.81,-170.24,0
99766.0,0.021,-0.009,0.033,-12.59,-32.98,0
99771.0,0.012,-0.028,-0.01,-60.87,-130.64,0
99776.0,0.026,-0.014,0.026,-20.27,-45.44,0
99781.0,0.009,-0.014,-0.005,-51.4,-119.59,0
99786.0,-0.005,0.025,0.002,77.96,69.65,0
99791.0,0.007,0.003,-0.001,24.38,-94.56,0
99796.0,0.021,0.003,-0.008,7.99,-109.9,0
99801.0,-0.007,-0.009,-0.015,-27.82,153.81,0
99806.0,0.021,-0.011,-0.02,-21.01,-132.67,0
99811.0,0.024,-0.014,-0.008,-28.48,-108.03,0
99816.0,-0.007,-0.006,0.04,-8.89,10.37,0
99821.0,0.031,0.018,0.014,27.38,-65.97,0
99826.0,0.017,0.022,-0.003,52.96,-100.09,0
99831.0,0.007,0.018,-0.005,63.31,-127.29,0
99836.0,-0.0,-0.014,-0.005,-68.48,178.29,0
99841.0,-0.034,-0.004,0.014,-6.26,67.71,0
99846.0,-0.0,0.008,0.023,18.85,0.39,0
99851.0,-0.036,0.001,0.019,1.13,62.73,0
99856.0,0.014,-0.016,-0.068,-13.01,-168.13,0
99861.0,0.005,-0.014,0.014,-42.98,-18.54,0
99866.0,-0.031,0.008,0.028,10.73,48.0,0
99871.0,0.014,-0.011,-0.001,-38.16,-92.26,0
99876.0,0.024,0.015,-0.008,31.23,-108.03,0
99881.0,-0.015,0.015,0.021,30.71,34.68,0
99886.0,0.021,-0.006,-0.013,-14.44,-120.36,0
99891.0,0.029,0.018,0.009,30.37,-72.48,0
99896.0,0.014,-0.004,0.014,-11.39,-45.82,0
99901.0,0.041,-0.014,0.028,-15.37,-55.21,0
99906.0,0.005,-0.009,-0.008,-44.22,-149.13,0
99911.0,0.005,0.006,-0.01,26.63,-155.46,0
99916.0,0.002,-0.002,-0.029,-3.11,-175.64,0
99921.0,-0.007,-0.023,0.016,-52.46,24.38,0
99926.0,-0.01,0.003,-0.008,14.39,128.49,0
99931.0,-0.012,-0.018,0.016,-42.21,36.83,0
99936.0,-0.026,-0.004,-0.01,-8.01,110.94,0
99941.0,-0.007,-0.014,0.004,-58.01,60.06,0
99946.0,0.002,0.006,-0.039,8.17,-176.71,0
99951.0,-0.019,-0.016,-0.008,-37.49,111.84,0
99956.0,-0.0,-0.018,0.021,-41.17,0.44,0
99961.0,0.005,0.02,0.002,75.99,-68.38,0
99966.0,0.007,-0.002,0.021,-4.13,-18.5,0
99971.0,0.017,0.003,0.031,5.24,-28.51,0
99976.0,0.012,0.001,0.004,3.64,-70.3,0
99981.0,-0.0,-0.011,0.014,-38.98,0.66,0
99986.0,-0.01,-0.023,0.026,-40.03,20.69,0
99991.0,-0.024,-0.011,0.033,-15.3,36.18,0
99996.0,0.019,-0.006,0.019,-13.51,-45.61,0
100001.0,0.012,0.006,0.007,22.42,-60.72,0
100006.0,-0.012,-0.047,-0.001,-75.54,92.64,0
100011.0,0.017,0.015,0.002,42.24,-83.69,0
100016.0,-0.0,-0.042,0.009,-77.96,1.01,0
100021.0,-0.005,-0.014,-0.01,-50.26,153.98,0
100026.0,-0.003,-0.011,-0.001,-76.83,102.36,0
100031.0,0.014,-0.04,-0.01,-66.38,-125.51,0
100036.0,-0.0,0.01,0.016,32.64,0.56,0
100041.0,-0.036,0.013,0.014,18.29,69.06,0
100046.0,0.007,0.001,0.019,2.3,-20.69,0
100051.0,0.002,0.006,-0.003,56.46,-142.89,0
100056.0,0.014,0.008,0.009,25.38,-57.59,0
100061.0,-0.003,0.01,0.011,41.58,12.61,0
100066.0,0.017,0.001,-0.013,2.2,-127.05,0
100071.0,-0.007,-0.004,0.023,-9.25,17.43,0
100076.0,0.024,0.01,0.031,15.0,-37.89,0
