time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
53935.0,0.02,0.01,-0.003,26.44,-97.87,0
53940.0,-0.009,0.022,-0.017,49.08,153.54,0
53945.0,0.006,0.032,-0.015,63.39,-158.46,0
53950.0,-0.011,-0.026,0.004,-65.44,68.12,0
53955.0,-0.009,0.003,0.012,11.6,36.42,0
53960.0,0.008,-0.021,0.012,-55.93,-35.39,0
53965.0,-0.001,0.029,-0.0,87.24,106.34,0
53970.0,-0.006,0.029,-0.017,58.11,160.29,0
53975.0,0.02,-0.009,-0.0,-24.06,-91.13,0
53980.0,-0.009,0.034,-0.003,75.23,108.11,0
53985.0,0.015,-0.002,-0.005,-6.44,-108.61,0
53990.0,-0.001,0.02,0.026,37.2,2.99,0
53995.0,-0.011,0.02,-0.022,38.8,153.52,0
54000.0,-0.028,0.008,-0.015,13.86,118.06,0
54005.0,0.006,0.017,0.055,17.48,-6.08,0
54010.0,0.001,0.001,-0.005,6.03,-168.69,0
54015.0,-0.006,-0.002,0.004,-13.66,54.45,0
54020.0,0.015,-0.009,0.007,-28.18,-66.23,0
54025.0,-0.016,0.01,0.047,11.45,18.32,0
54030.0,-0.021,-0.004,0.012,-10.18,60.57,0
54035.0,0.008,-0.035,0.038,-42.35,-12.23,0
54040.0,-0.013,0.001,0.004,2.28,71.77,0
54045.0,-0.006,0.003,-0.017,9.2,160.29,0
54050.0,-0.021,0.029,-0.029,39.42,144.85,0
54055.0,-0.016,0.01,0.014,25.73,48.38,0
54060.0,-0.021,0.041,0.024,52.88,41.06,0
54065.0,-0.013,-0.033,-0.0,-67.97,91.71,0
54070.0,0.018,0.034,-0.003,62.14,-98.92,0
54075.0,0.011,0.005,-0.027,10.53,-158.35,0
54080.0,0.001,-0.011,-0.012,-42.6,-175.21,0
54085.0,0.003,0.001,0.012,2.65,-16.52,0
54090.0,0.003,0.015,-0.008,60.86,-155.64,0
54095.0,-0.009,0.029,0.002,73.33,76.84,0
54100.0,-0.018,0.01,0.009,26.52,63.13,0
54105.0,0.003,0.015,-0.008,60.86,-155.64,0
54110.0,-0.025,-0.016,0.024,-25.12,47.06,0
54115.0,0.006,0.022,-0.008,66.61,-142.46,0
54120.0,0.035,0.02,-0.02,26.4,-119.5,0
54125.0,-0.025,-0.007,-0.022,-11.19,130.94,0
54130.0,0.008,0.013,0.016,34.38,-26.68,0
54135.0,-0.016,-0.002,-0.005,-6.33,108.26,0
54140.0,0.02,0.036,0.007,59.71,-71.43,0
54145.0,-0.037,0.003,-0.003,4.52,94.28,0
54150.0,0.018,0.029,0.014,52.32,-51.87,0
54155.0,0.006,0.029,0.021,53.17,-15.4,0
54160.0,-0.013,-0.019,0.028,-30.71,25.19,0
54165.0,0.003,-0.016,-0.027,-31.01,-172.69,0
54170.0,-0.011,0.015,-0.015,39.09,143.48,0
54175.0,0.023,-0.028,-0.01,-48.77,-113.83,0
54180.0,0.032,0.003,-0.01,5.01,-107.23,0
54185.0,-0.009,-0.019,0.002,-64.75,76.84,0
54190.0,0.003,0.041,-0.015,69.83,-166.91,0
54195.0,0.006,0.025,0.026,42.66,-12.66,0
54200.0,-0.028,0.013,-0.02,20.29,125.22,0
54205.0,0.001,-0.002,-0.008,-13.49,-172.21,0
54210.0,0.013,0.022,0.033,31.85,-21.44,0
54215.0,-0.011,0.02,0.004,59.13,68.12,0
54220.0,0.008,-0.031,-0.024,-49.95,-161.34,0
54225.0,0.003,0.029,-0.024,49.99,-171.98,0
54230.0,0.003,-0.009,0.026,-19.02,-7.54,0
54235.0,0.037,0.005,-0.01,7.95,-105.11,0
54240.0,-0.032,0.034,0.004,46.11,82.3,0
54245.0,0.015,0.044,0.007,68.92,-66.23,0
