time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
0.016665,video,,,,,,,,2.220884,105.855506,0
0.033330,video,,,,,,,,-7.229001,100.125697,0
0.049995,video,,,,,,,,-6.896084,100.053644,0
0.183316,video,,,,,,,,1.193489,105.505874,0
0.216646,video,,,,,,,,1.193489,105.505874,0
0.233311,video,,,,,,,,1.509526,105.666160,0
0.249976,video,,,,,,,,1.974934,106.278636,0
0.299971,video,,,,,,,,-7.229001,100.125697,0
0.316636,video,,,,,,,,-4.805601,99.680220,0
0.333301,video,,,,,,,,-7.229001,100.125697,0
0.349966,video,,,,,,,,1.356332,105.219457,0
0.366631,video,,,,,,,,1.602261,104.791437,0
0.399962,video,,,,,,,,1.117046,105.209972,0
0.416627,video,,,,,,,,1.656854,106.406497,0
0.449957,video,,,,,,,,-7.229001,100.125697,0
0.466622,video,,,,,,,,-7.229001,100.125697,0
0.483287,video,,,,,,,,-7.229001,100.125697,0
0.516617,video,,,,,,,,1.352566,105.512384,0
0.566612,video,,,,,,,,1.511621,105.519707,0
0.599942,video,,,,,,,,1.193489,105.505874,0
0.616608,video,,,,,,,,1.117046,105.209972,0
0.633273,video,,,,,,,,1.352566,105.512384,0
0.649938,video,,,,,,,,1.200155,104.919985,0
0.666603,video,,,,,,,,1.738097,106.264397,0
0.683268,video,,,,,,,,1.115493,105.356448,0
0.699933,video,,,,,,,,1.974934,106.278636,0
0.716598,video,,,,,,,,1.276575,105.216092,0
0.766593,video,,,,,,,,1.276575,105.216092,0
0.783258,video,,,,,,,,1.354446,105.365921,0
0.816588,video,,,,,,,,-0.158057,106.215910,0
0.866584,video,,,,,,,,1.196813,105.212930,0
0.883249,video,,,,,,,,1.200155,104.919985,0
0.899914,video,,,,,,,,1.511621,105.519707,0
0.916579,video,,,,,,,,1.115493,105.356448,0
0.933244,video,,,,,,,,1.354446,105.365921,0
0.966574,video,,,,,,,,1.276575,105.216092,0
0.983239,video,,,,,,,,1.195149,105.359402,0
0.999904,video,,,,,,,,-7.229001,100.125697,0
1.049899,video,,,,,,,,1.735705,106.410834,0
1.066564,video,,,,,,,,-7.229001,100.125697,0
1.116560,video,,,,,,,,1.511621,105.519707,0
1.133225,video,,,,,,,,1.511621,105.519707,0
1.149890,video,,,,,,,,1.656854,106.406497,0
1.166555,video,,,,,,,,1.120166,104.917019,0
1.199885,video,,,,,,,,1.115493,105.356448,0
1.216550,video,,,,,,,,1.511621,105.519707,0
1.233215,video,,,,,,,,1.345096,106.098238,0
1.266545,video,,,,,,,,1.195149,105.359402,0
1.299875,video,,,,,,,,1.276575,105.216092,0
1.349870,video,,,,,,,,1.265999,106.094900,0
1.366536,video,,,,,,,,1.265999,106.094900,0
1.383201,video,,,,,,,,1.656854,106.406497,0
1.399866,video,,,,,,,,1.735705,106.410834,0
1.449861,video,,,,,,,,1.265999,106.094900,0
1.466526,video,,,,,,,,1.265999,106.094900,0
1.483191,video,,,,,,,,1.988638,105.546553,0
1.499856,video,,,,,,,,1.273030,105.509027,0
1.516521,video,,,,,,,,1.501201,106.251974,0
1.533186,video,,,,,,,,1.195149,105.359402,0
1.549851,video,,,,,,,,1.345096,106.098238,0
1.566516,video,,,,,,,,1.509526,105.666160,0
1.599846,video,,,,,,,,-4.721677,99.668053,0
1.616512,video,,,,,,,,1.352566,105.512384,0
1.633177,video,,,,,,,,-4.721677,99.668053,0
1.649842,video,,,,,,,,-4.721677,99.668053,0
1.666507,video,,,,,,,,1.195149,105.359402,0
1.683172,video,,,,,,,,1.511621,105.519707,0
1.699837,video,,,,,,,,1.265999,106.094900,0
1.716502,video,,,,,,,,1.733319,106.557271,0
1.733167,video,,,,,,,,1.032960,105.646658,0
1.749832,video,,,,,,,,1.733319,106.557271,0
1.783162,video,,,,,,,,1.193489,105.505874,0
1.833157,video,,,,,,,,1.345096,106.098238,0
1.849823,video,,,,,,,,1.503273,106.105521,0
1.866488,video,,,,,,,,1.345096,106.098238,0
1.883153,video,,,,,,,,1.501201,106.251974,0
1.983143,video,,,,,,,,1.193489,105.505874,0
1.999808,video,,,,,,,,1.195149,105.359402,0
2.016473,video,,,,,,,,1.733319,106.557271,0
2.033138,video,,,,,,,,1.511621,105.519707,0
2.066468,video,,,,,,,,-6.729449,100.018886,0
2.099799,video,,,,,,,,1.107791,106.088831,0
2.116464,video,,,,,,,,1.814549,106.415372,0
2.133129,video,,,,,,,,1.580172,106.255913,0
2.149794,video,,,,,,,,1.511621,105.519707,0
2.183124,video,,,,,,,,1.591140,105.523673,0
2.199789,video,,,,,,,,1.509526,105.666160,0
2.216454,video,,,,,,,,1.588935,105.670121,0
2.233119,video,,,,,,,,1.511621,105.519707,0
2.283114,video,,,,,,,,8.274226,90.603665,0
2.316444,video,,,,,,,,1.195149,105.359402,0
2.349775,video,,,,,,,,1.513723,105.373254,0
2.383105,video,,,,,,,,1.672976,105.381401,0
2.399770,video,,,,,,,,1.193489,105.505874,0
2.416435,video,,,,,,,,1.515830,105.226801,0
2.433100,video,,,,,,,,7.862546,93.173527,0
2.566420,video,,,,,,,,1.350690,105.658847,0
2.583085,video,,,,,,,,1.656854,106.406497,0
2.633081,video,,,,,,,,1.350690,105.658847,0
2.649746,video,,,,,,,,-7.727452,100.240103,0
2.666411,video,,,,,,,,1.661428,106.113612,0
2.699741,video,,,,,,,,1.588935,105.670121,0
2.716406,video,,,,,,,,1.276575,105.216092,0
2.733071,video,,,,,,,,1.591140,105.523673,0
2.783066,video,,,,,,,,1.511621,105.519707,0
2.799731,video,,,,,,,,1.586735,105.816569,0
2.816396,video,,,,,,,,1.668337,105.674285,0
2.833061,video,,,,,,,,1.654576,106.552940,0
2.849727,video,,,,,,,,1.733319,106.557271,0
2.866392,video,,,,,,,,1.281929,104.776689,0
2.899722,video,,,,,,,,1.511621,105.519707,0
2.949717,video,,,,,,,,1.668337,105.674285,0
2.966382,video,,,,,,,,1.972216,106.425053,0
2.983047,video,,,,,,,,-7.810414,100.259907,0
3.016377,video,,,,,,,,1.509526,105.666160,0
3.033042,video,,,,,,,,1.513723,105.373254,0
3.049707,video,,,,,,,,1.276575,105.216092,0
