time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
2.016473,video,,,,,,,,0.937910,107.425911,0
2.033138,video,,,,,,,,0.476131,105.803266,0
2.049803,video,,,,,,,,0.395683,106.095217,0
2.066468,video,,,,,,,,0.395683,106.095217,0
2.083133,video,,,,,,,,0.474161,106.242862,0
2.099799,video,,,,,,,,0.476792,105.656734,0
2.116464,video,,,,,,,,0.553183,106.244175,0
2.133129,video,,,,,,,,0.474161,106.242862,0
2.149794,video,,,,,,,,0.476792,105.656734,0
2.166459,video,,,,,,,,0.553947,106.097645,0
2.183124,video,,,,,,,,-2.239476,105.000588,0
2.199789,video,,,,,,,,0.316986,105.947771,0
2.216454,video,,,,,,,,0.555482,105.804585,0
2.233119,video,,,,,,,,1.422224,106.271962,0
2.249784,video,,,,,,,,0.476792,105.656734,0
2.266449,video,,,,,,,,1.016053,107.428410,0
2.283114,video,,,,,,,,0.559355,105.071936,0
2.299779,video,,,,,,,,0.476792,105.656734,0
2.316444,video,,,,,,,,0.474816,106.096330,0
2.333109,video,,,,,,,,0.937910,107.425911,0
2.349775,video,,,,,,,,1.424187,106.125470,0
2.366440,video,,,,,,,,0.556252,105.658055,0
2.383105,video,,,,,,,,0.474161,106.242862,0
2.399770,video,,,,,,,,0.556252,105.658055,0
2.416435,video,,,,,,,,0.557799,105.364995,0
2.433100,video,,,,,,,,0.556252,105.658055,0
2.449765,video,,,,,,,,0.558576,105.218466,0
2.466430,video,,,,,,,,0.392969,106.827884,0
2.483095,video,,,,,,,,1.346955,105.975433,0
2.499760,video,,,,,,,,0.943055,106.839843,0
2.516425,video,,,,,,,,0.555482,105.804585,0
2.533090,video,,,,,,,,0.553183,106.244175,0
2.549755,video,,,,,,,,1.422224,106.271962,0
2.566420,video,,,,,,,,0.862115,107.130572,0
2.583085,video,,,,,,,,1.267749,105.972089,0
2.599751,video,,,,,,,,0.632204,106.245691,0
2.616416,video,,,,,,,,1.343241,106.268426,0
2.633081,video,,,,,,,,0.630465,106.538747,0
2.649746,video,,,,,,,,0.943055,106.839843,0
2.666411,video,,,,,,,,0.553947,106.097645,0
2.683076,video,,,,,,,,0.476792,105.656734,0
2.699741,video,,,,,,,,0.936632,107.572428,0
2.716406,video,,,,,,,,0.553947,106.097645,0
2.733071,video,,,,,,,,1.428131,105.832487,0
2.749736,video,,,,,,,,0.638367,105.219996,0
2.766401,video,,,,,,,,0.476792,105.656734,0
2.783066,video,,,,,,,,0.555482,105.804585,0
2.799731,video,,,,,,,,0.553947,106.097645,0
2.816396,video,,,,,,,,0.400104,104.922950,0
2.833061,video,,,,,,,,0.392431,106.974417,0
2.849727,video,,,,,,,,0.554714,105.951115,0
2.866392,video,,,,,,,,0.553947,106.097645,0
2.883057,video,,,,,,,,0.553947,106.097645,0
2.916387,video,,,,,,,,0.555482,105.804585,0
2.933052,video,,,,,,,,0.480792,104.777544,0
2.949717,video,,,,,,,,1.726200,107.020475,0
2.966382,video,,,,,,,,1.428131,105.832487,0
2.983047,video,,,,,,,,1.428131,105.832487,0
2.999712,video,,,,,,,,1.726200,107.020475,0
3.016377,video,,,,,,,,1.253880,107.144101,0
3.033042,video,,,,,,,,0.551662,106.537235,0
3.049707,video,,,,,,,,0.556252,105.658055,0
3.066372,video,,,,,,,,0.632204,106.245691,0
3.083038,video,,,,,,,,1.503273,106.129213,0
3.099703,video,,,,,,,,0.555482,105.804585,0
3.116368,video,,,,,,,,1.503273,106.129213,0
3.133033,video,,,,,,,,0.556252,105.658055,0
3.149698,video,,,,,,,,0.633077,106.099163,0
3.166363,video,,,,,,,,1.428131,105.832487,0
3.183028,video,,,,,,,,1.505352,105.982727,0
3.199693,video,,,,,,,,0.629599,106.685275,0
3.216358,video,,,,,,,,0.556252,105.658055,0
3.233023,video,,,,,,,,0.629599,106.685275,0
3.249688,video,,,,,,,,0.638367,105.219996,0
3.266353,video,,,,,,,,0.632204,106.245691,0
3.283018,video,,,,,,,,0.553947,106.097645,0
3.299683,video,,,,,,,,0.629599,106.685275,0
3.316348,video,,,,,,,,0.630465,106.538747,0
3.333014,video,,,,,,,,0.630465,106.538747,0
3.349679,video,,,,,,,,0.630465,106.538747,0
3.366344,video,,,,,,,,1.726200,107.020475,0
3.383009,video,,,,,,,,0.629599,106.685275,0
3.399674,video,,,,,,,,0.629599,106.685275,0
3.416339,video,,,,,,,,0.632204,106.245691,0
3.433004,video,,,,,,,,1.098688,106.991578,0
3.449669,video,,,,,,,,0.394050,106.534817,0
3.466334,video,,,,,,,,0.476792,105.656734,0
3.482999,video,,,,,,,,0.474161,106.242862,0
3.499664,video,,,,,,,,0.557799,105.364995,0
3.516329,video,,,,,,,,0.629599,106.685275,0
3.532994,video,,,,,,,,0.395137,106.241750,0
3.549659,video,,,,,,,,0.476792,105.656734,0
3.566324,video,,,,,,,,0.948257,106.253775,0
3.582990,video,,,,,,,,0.158934,105.653482,0
3.599655,video,,,,,,,,0.936632,107.572428,0
3.616320,video,,,,,,,,0.475473,105.949798,0
3.632985,video,,,,,,,,0.471560,106.828989,0
3.649650,video,,,,,,,,0.392969,106.827884,0
3.666315,video,,,,,,,,0.077847,107.851228,0
3.682980,video,,,,,,,,-0.551662,106.537235,0
3.699645,video,,,,,,,,-0.546401,107.562946,0
3.716310,video,,,,,,,,-0.864480,106.837531,0
3.732975,video,,,,,,,,-0.944350,106.693326,0
3.749640,video,,,,,,,,-1.106264,106.259029,0
3.766305,video,,,,,,,,-1.980393,106.009468,0
3.782970,video,,,,,,,,-2.379342,105.890905,0
3.799635,video,,,,,,,,-2.945863,105.499416,0
3.816300,video,,,,,,,,-2.775324,105.923853,0
3.832966,video,,,,,,,,-1.334044,107.000910,0
3.849631,video,,,,,,,,-1.106264,106.259029,0
3.866296,video,,,,,,,,-1.345096,106.121929,0
3.882961,video,,,,,,,,-1.824595,105.853282,0
3.899626,video,,,,,,,,-1.020228,106.988869,0
3.916291,video,,,,,,,,-0.396230,105.948683,0
3.932956,video,,,,,,,,-1.513723,105.396783,0
3.949621,video,,,,,,,,-1.271265,105.679088,0
3.966286,video,,,,,,,,-0.874070,105.665371,0
3.982951,video,,,,,,,,-0.953517,105.667708,0
3.999616,video,,,,,,,,-0.958836,105.081643,0
4.016281,video,,,,,,,,1.030104,105.963275,0
4.032946,video,,,,,,,,0.000000,105.360002,0
4.049611,video,,,,,,,,0.790237,106.249329,0
4.066276,video,,,,,,,,0.079138,106.092788,0
4.082942,video,,,,,,,,0.790237,106.249329,0
4.099607,video,,,,,,,,0.790237,106.249329,0
4.116272,video,,,,,,,,1.028681,106.109788,0
4.132937,video,,,,,,,,0.639257,105.073468,0
4.149602,video,,,,,,,,1.027263,106.256301,0
4.166267,video,,,,,,,,1.260776,106.558094,0
4.182932,video,,,,,,,,1.497073,106.568673,0
4.199597,video,,,,,,,,0.478118,105.363671,0
4.216262,video,,,,,,,,0.398434,105.362550,0
4.232927,video,,,,,,,,0.944350,106.693326,0
4.249592,video,,,,,,,,0.318749,105.361633,0
4.266257,video,,,,,,,,0.862115,107.130572,0
4.282922,video,,,,,,,,1.028681,106.109788,0
4.299587,video,,,,,,,,-0.316986,105.947771,0
4.316253,video,,,,,,,,-0.079799,105.213567,0
4.332918,video,,,,,,,,0.943055,106.839843,0
4.349583,video,,,,,,,,0.000000,105.213465,0
4.366248,video,,,,,,,,0.553947,106.097645,0
4.382913,video,,,,,,,,0.394050,106.534817,0
4.399578,video,,,,,,,,0.078487,106.972008,0
4.416243,video,,,,,,,,-0.158934,105.653482,0
4.432908,video,,,,,,,,-0.317425,105.801237,0
4.449573,video,,,,,,,,0.553947,106.097645,0
