time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
198997.0,0.012,0.021,0.017,45.37,-36.82,0
199002.0,0.034,-0.025,0.014,-33.78,-67.39,0
199007.0,0.029,0.026,0.04,27.27,-35.75,0
199012.0,-0.004,-0.013,-0.0,-70.78,93.11,0
199017.0,-0.004,0.009,0.009,40.9,25.18,0
199022.0,0.005,0.002,-0.007,10.97,-145.04,0
199027.0,-0.007,-0.013,0.007,-52.41,44.33,0
199032.0,-0.021,-0.017,-0.015,-34.1,124.63,0
199037.0,0.003,0.011,0.012,43.22,-13.39,0
199042.0,-0.007,0.016,0.017,42.07,22.32,0
199047.0,-0.002,0.033,0.021,56.94,5.35,0
199052.0,-0.047,0.009,0.017,10.08,70.82,0
199057.0,0.024,0.004,-0.005,9.48,-101.67,0
199062.0,-0.038,0.019,-0.01,25.31,104.52,0
199067.0,-0.007,-0.015,-0.003,-64.13,111.21,0
199072.0,0.01,0.016,0.031,26.41,-17.9,0
199077.0,-0.007,0.023,-0.003,72.66,111.21,0
199082.0,0.005,-0.022,-0.019,-47.86,-165.02,0
199087.0,0.0,-0.015,0.014,-46.71,-1.62,0
199092.0,0.003,-0.013,0.031,-22.13,-5.17,0
199097.0,0.012,-0.02,-0.007,-53.91,-120.96,0
199102.0,0.005,-0.037,-0.022,-58.5,-166.61,0
199107.0,0.005,-0.037,0.031,-49.41,-9.53,0
199112.0,-0.024,-0.025,0.038,-28.77,31.73,0
199117.0,-0.009,0.011,-0.003,49.89,106.0,0
199122.0,0.024,0.014,0.009,27.77,-69.01,0
199127.0,-0.019,-0.01,0.002,-28.42,83.44,0
199132.0,0.008,-0.02,-0.007,-61.81,-134.38,0
199137.0,0.005,0.019,0.012,55.28,-23.85,0
199142.0,0.017,0.021,0.002,50.41,-82.84,0
199147.0,0.015,-0.013,0.043,-15.55,-19.01,0
199152.0,-0.002,0.021,-0.015,54.82,172.22,0
199157.0,0.015,0.047,0.002,72.47,-81.69,0
199162.0,-0.009,0.023,-0.003,67.72,106.0,0
