time_ms,accel_x,accel_y,accel_z,pitch,roll,sync
2288052.0,0.007,-0.015,-0.001,-63.14,-100.95,0
2288057.0,-0.019,0.004,-0.013,10.34,125.33,0
2288062.0,-0.007,-0.008,-0.016,-24.16,156.28,0
2288067.0,0.036,0.009,0.003,13.95,-84.7,0
2288072.0,-0.043,0.016,-0.011,20.11,104.41,0
2288077.0,0.01,-0.01,-0.025,-20.43,-158.85,0
2288082.0,0.012,0.033,-0.006,67.42,-117.01,0
2288087.0,-0.052,-0.013,0.011,-13.19,78.64,0
2288092.0,0.027,-0.032,0.02,-43.55,-52.88,0
2288097.0,-0.014,0.016,0.027,27.8,27.36,0
2288102.0,-0.005,0.011,0.011,44.84,23.35,0
2288107.0,0.022,0.011,-0.033,16.24,-146.21,0
2288112.0,-0.012,-0.003,-0.006,-12.53,117.95,0
2288117.0,-0.028,-0.02,-0.033,-24.49,138.81,0
2288122.0,-0.021,-0.013,0.025,-20.92,40.56,0
2288127.0,-0.005,-0.02,-0.018,-46.43,165.96,0
2288132.0,-0.021,-0.003,-0.045,-3.42,154.43,0
2288137.0,0.022,-0.001,0.001,-1.47,-87.48,0
2288142.0,-0.002,0.007,-0.028,13.38,175.56,0
2288147.0,0.015,0.021,0.023,38.04,-32.98,0
2288152.0,0.0,0.004,0.025,9.64,-0.55,0
2288157.0,-0.005,0.021,-0.03,34.53,171.42,0
2288162.0,-0.009,-0.01,-0.061,-9.28,171.34,0
2288167.0,0.007,-0.008,-0.006,-38.63,-129.99,0
2288172.0,-0.014,0.026,0.018,48.68,38.56,0
2288177.0,-0.019,0.011,-0.011,27.54,120.21,0
2288182.0,-0.009,-0.008,-0.021,-18.9,155.61,0
2288187.0,-0.012,0.009,-0.023,19.26,152.96,0
2288192.0,-0.009,-0.02,-0.054,-19.75,170.21,0
2288197.0,-0.014,-0.001,-0.013,-1.64,133.5,0
2288202.0,0.005,0.004,0.023,10.39,-12.59,0
2288207.0,0.031,0.026,0.037,28.04,-40.39,0
2288212.0,-0.024,0.002,-0.04,2.27,149.19,0
2288217.0,-0.007,0.002,-0.004,13.03,118.88,0
2288222.0,-0.005,-0.02,0.001,-76.73,78.1,0
2288227.0,0.01,-0.01,-0.057,-10.02,-170.14,0
2288232.0,0.01,0.002,0.003,10.04,-71.15,0
2288237.0,0.01,-0.01,-0.021,-23.96,-154.51,0
2288242.0,0.024,0.014,0.003,29.49,-82.11,0
2288247.0,-0.007,-0.001,0.018,-1.68,21.4,0
2288252.0,0.005,0.004,0.034,6.92,-8.3,0
2288257.0,-0.005,0.04,0.044,42.19,5.9,0
2288262.0,-0.005,0.002,0.006,14.06,38.36,0
2288267.0,-0.021,-0.022,-0.001,-45.99,93.86,0
2288272.0,-0.014,0.011,-0.016,28.3,138.2,0
2288277.0,0.01,-0.003,-0.013,-10.08,-143.79,0
2288282.0,-0.012,-0.01,0.044,-12.53,14.91,0
2288287.0,0.005,0.021,0.032,32.88,-8.91,0
2288292.0,0.034,-0.017,-0.004,-27.01,-96.47,0
2288297.0,0.015,-0.027,-0.047,-28.69,-162.71,0
2288302.0,0.003,-0.003,-0.016,-10.44,-170.54,0
2288307.0,0.015,0.021,0.037,27.89,-21.61,0
2288312.0,-0.019,-0.025,0.02,-41.59,43.24,0
2288317.0,0.01,0.002,0.034,2.93,-15.89,0
2288322.0,0.019,-0.001,0.023,-1.08,-40.75,0
2288327.0,0.019,-0.025,0.023,-39.51,-40.75,0
2288332.0,0.0,-0.01,-0.009,-49.61,-178.41,0
2288337.0,0.0,-0.005,0.034,-8.82,-0.4,0
2288342.0,0.003,0.019,0.023,39.37,-6.67,0
2288347.0,-0.024,0.004,-0.018,8.06,127.51,0
2288352.0,-0.002,0.019,0.003,77.9,32.73,0
2288357.0,-0.007,-0.003,-0.013,-11.07,152.62,0
2288362.0,0.003,0.031,-0.033,43.1,-175.38,0
2288367.0,-0.009,0.007,0.056,6.65,9.46,0
2288372.0,-0.005,0.019,0.015,49.32,16.53,0
2288377.0,-0.012,0.016,-0.04,21.35,163.55,0
2288382.0,0.012,0.026,-0.025,42.47,-154.31,0
2288387.0,-0.002,-0.001,-0.018,-1.75,173.25,0
2288392.0,0.01,0.026,0.003,68.08,-71.15,0
2288397.0,-0.005,0.016,0.003,70.77,53.61,0
2288402.0,-0.012,0.007,-0.006,26.51,117.95,0
2288407.0,0.007,0.009,-0.001,50.03,-100.95,0
2288412.0,0.027,-0.027,0.015,-41.24,-60.03,0
2288417.0,-0.017,-0.027,-0.037,-33.37,156.14,0
2288422.0,0.007,0.019,0.025,35.59,-16.6,0
2288427.0,-0.005,0.031,-0.016,61.72,163.94,0
2288432.0,-0.012,-0.003,-0.006,-12.53,117.95,0
2288437.0,0.012,0.019,-0.028,31.5,-156.27,0
2288442.0,0.007,-0.008,-0.001,-45.68,-100.95,0
2288447.0,-0.031,0.009,-0.011,15.38,109.63,0
2288452.0,0.005,0.014,-0.023,30.41,-167.66,0
2288457.0,0.0,0.002,-0.006,16.42,-177.8,0
2288462.0,-0.002,-0.025,-0.013,-61.0,170.87,0
2288467.0,0.007,0.023,-0.04,30.04,-169.42,0
2288472.0,-0.014,0.011,-0.021,24.56,145.55,0
2288477.0,-0.005,0.021,0.003,74.93,53.61,0
2288482.0,0.019,0.016,-0.021,29.8,-136.71,0
2288487.0,0.003,-0.003,0.056,-3.01,-2.69,0
2288492.0,0.012,0.035,0.037,42.31,-18.32,0
2288497.0,0.01,0.011,0.008,41.83,-50.33,0
2288502.0,0.007,0.004,0.02,11.16,-20.26,0
2288507.0,-0.012,0.021,-0.013,49.68,138.81,0
2288512.0,-0.009,-0.02,0.011,-54.47,41.55,0
2288517.0,0.01,0.016,0.006,54.93,-59.65,0
2288522.0,-0.045,0.019,-0.025,19.72,119.29,0
2288527.0,-0.014,0.009,0.025,17.49,29.57,0
2288532.0,0.005,-0.003,0.034,-4.84,-8.3,0
2288537.0,0.012,0.021,0.018,44.29,-34.57,0
2288542.0,-0.043,-0.001,-0.011,-0.72,104.41,0
2288547.0,0.0,-0.013,0.039,-17.7,-0.35,0
2288552.0,0.012,-0.003,-0.004,-12.99,-107.41,0
2288557.0,0.015,0.016,-0.035,23.15,-157.32,0
2288562.0,0.007,0.011,-0.011,40.67,-146.02,0
2288567.0,-0.017,-0.022,0.008,-50.2,63.77,0
2288572.0,0.0,-0.017,0.015,-48.49,-0.89,0
2288577.0,0.0,-0.003,-0.04,-4.25,-179.65,0
2288582.0,0.017,0.026,0.025,40.53,-34.32,0
2288587.0,-0.021,0.035,0.018,51.91,50.26,0
2288592.0,0.012,-0.008,0.054,-8.01,-12.83,0
2288597.0,0.019,0.016,-0.013,34.5,-124.66,0
2288602.0,0.003,-0.005,0.023,-13.28,-6.67,0
2288607.0,-0.002,-0.001,0.001,-13.32,66.02,0
2288612.0,-0.002,0.007,-0.013,26.0,170.87,0
2288617.0,-0.002,-0.017,0.001,-82.25,66.02,0
2288622.0,-0.019,-0.013,-0.013,-28.39,125.33,0
2288627.0,0.015,-0.001,-0.018,-1.37,-141.25,0
2288632.0,0.01,0.011,0.03,20.05,-18.3,0
2288637.0,0.012,-0.003,0.008,-11.38,-56.31,0
2288642.0,-0.007,-0.022,-0.023,-42.64,163.19,0
2288647.0,-0.009,-0.015,0.02,-33.94,24.9,0
2288652.0,0.012,-0.02,-0.054,-19.56,-167.28,0
2288657.0,-0.019,-0.003,-0.011,-7.68,120.21,0
2288662.0,0.0,-0.008,-0.03,-14.39,-179.55,0
2288667.0,0.022,-0.003,0.027,-4.83,-38.6,0
2288672.0,0.003,0.023,0.003,79.67,-38.15,0
2288677.0,0.0,0.021,0.003,80.9,-4.08,0
2288682.0,0.0,-0.008,0.003,-66.53,-4.08,0
2288687.0,0.012,0.033,0.011,63.93,-49.21,0
2288692.0,-0.005,-0.025,-0.001,-78.98,107.52,0
2288697.0,-0.012,0.023,-0.03,35.85,158.75,0
2288702.0,-0.007,0.009,-0.018,24.85,159.11,0
2288707.0,0.0,0.016,0.034,25.17,-0.4,0
2288712.0,-0.019,-0.029,-0.009,-54.64,114.5,0
2288717.0,-0.021,0.004,0.013,9.63,58.75,0
2288722.0,0.01,-0.01,-0.021,-23.96,-154.51,0
2288727.0,0.003,-0.029,-0.006,-77.01,-157.07,0
2288732.0,0.01,0.016,-0.035,24.05,-164.31,0
2288737.0,0.007,0.016,0.023,34.36,-18.25,0
2288742.0,0.01,0.023,0.001,67.13,-84.42,0
2288747.0,0.022,-0.015,-0.016,-29.01,-125.95,0
2288752.0,-0.036,-0.008,0.008,-11.95,77.15,0
2288757.0,-0.002,0.002,0.018,5.87,6.93,0
2288762.0,-0.002,-0.017,0.02,-40.57,6.12,0
2288767.0,0.022,0.021,-0.001,43.87,-93.77,0
2288772.0,-0.009,-0.025,0.013,-56.94,35.84,0
2288777.0,-0.021,-0.029,-0.028,-39.92,142.5,0
2288782.0,0.007,0.004,0.001,29.48,-82.64,0
2288787.0,0.007,0.002,-0.006,10.73,-129.99,0
2288792.0,0.003,-0.001,0.003,-7.46,-38.15,0
2288797.0,0.027,0.035,0.001,53.05,-87.93,0
2288802.0,-0.024,0.004,0.008,9.58,71.05,0
2288807.0,0.019,0.009,0.015,20.05,-51.69,0
2288812.0,-0.021,-0.041,-0.009,-60.88,112.02,0
2288817.0,-0.002,0.002,0.023,4.64,5.47,0
2288822.0,-0.017,0.021,0.03,31.71,29.09,0
2288827.0,-0.005,0.019,0.001,75.96,78.1,0
2288832.0,0.022,0.026,0.011,46.81,-64.19,0
2288837.0,-0.012,-0.008,0.042,-10.14,15.73,0
2288842.0,0.003,0.016,0.003,75.26,-38.15,0
2288847.0,-0.005,-0.034,-0.08,-22.93,176.76,0
2288852.0,0.0,0.026,0.001,87.81,-14.02,0
2288857.0,0.019,-0.027,0.018,-45.68,-47.59,0
2288862.0,0.022,0.023,-0.006,45.9,-105.94,0
2288867.0,0.005,0.016,0.02,38.01,-14.04,0
2288872.0,0.015,-0.005,0.023,-11.27,-32.98,0
2288877.0,-0.019,0.023,-0.028,34.83,145.74,0
2288882.0,-0.012,-0.013,0.027,-22.87,23.26,0
2288887.0,0.007,-0.01,0.023,-23.16,-18.25,0
2288892.0,-0.007,0.019,0.037,26.36,10.66,0
2288897.0,0.029,0.002,-0.009,3.48,-106.57,0
2288902.0,0.015,-0.01,0.006,-32.85,-68.52,0
2288907.0,-0.007,0.004,-0.006,24.4,131.88,0
2288912.0,0.007,-0.008,-0.011,-30.24,-146.02,0
2288917.0,-0.019,0.038,-0.016,56.86,129.88,0
2288922.0,-0.024,-0.01,0.011,-21.34,66.04,0
2288927.0,0.0,0.004,0.025,9.64,-0.55,0
2288932.0,-0.012,-0.005,0.001,-24.43,85.33,0
2288937.0,-0.012,0.002,-0.011,6.51,133.19,0
2288942.0,0.012,0.028,0.037,35.95,-18.32,0
2288947.0,-0.007,-0.027,0.056,-25.47,7.06,0
2288952.0,-0.007,-0.008,-0.016,-24.16,156.28,0
2288957.0,-0.014,0.002,0.056,1.82,14.15,0
2288962.0,-0.005,0.023,0.03,37.9,8.71,0
2288967.0,0.027,0.031,0.027,38.74,-44.24,0
2288972.0,-0.019,0.014,-0.004,35.58,101.45,0
2288977.0,0.012,-0.003,0.015,-8.57,-38.55,0
2288982.0,-0.014,-0.015,-0.011,-39.8,127.94,0
2288987.0,-0.014,-0.01,0.001,-35.6,86.12,0
2288992.0,0.005,0.033,0.03,47.59,-9.61,0
2288997.0,-0.017,0.004,0.006,13.59,70.82,0
2289002.0,0.024,0.031,0.001,51.63,-87.73,0
2289007.0,-0.009,0.014,-0.011,43.72,139.71,0
2289012.0,0.012,0.011,0.011,35.29,-49.21,0
2289017.0,-0.038,0.023,0.006,31.27,81.42,0
2289022.0,-0.012,0.011,-0.016,30.11,143.41,0
2289027.0,0.005,0.007,0.003,47.63,-56.31,0
2289032.0,0.005,-0.008,0.027,-15.59,-10.44,0
2289037.0,0.015,0.045,0.013,66.53,-48.48,0
2289042.0,-0.005,0.021,-0.028,36.72,170.7,0
2289047.0,0.007,0.016,0.039,22.07,-10.7,0
2289052.0,-0.009,0.014,0.032,22.45,16.23,0
2289057.0,-0.019,-0.022,-0.047,-23.6,158.05,0
2289062.0,-0.012,0.004,-0.035,6.54,161.45,0
2289067.0,0.012,0.014,0.006,45.65,-64.8,0
2289072.0,0.01,0.016,0.02,35.9,-26.02,0
2289077.0,0.0,-0.001,-0.042,-0.76,-179.67,0
2289082.0,-0.009,0.004,-0.011,16.33,139.71,0
2289087.0,0.01,0.004,0.003,22.18,-71.15,0
2289092.0,0.0,-0.017,-0.042,-22.34,-179.67,0
2289097.0,-0.012,-0.001,0.034,-0.88,18.79,0
2289102.0,-0.019,0.002,0.034,2.67,28.75,0
2289107.0,-0.021,-0.008,-0.016,-16.27,126.56,0
2289112.0,-0.012,-0.027,-0.028,-41.73,157.1,0
2289117.0,-0.002,0.031,0.003,82.57,32.73,0
2289122.0,0.015,0.014,0.008,39.55,-60.86,0
2289127.0,0.019,-0.02,0.034,-26.49,-29.36,0
2289132.0,-0.007,-0.013,0.025,-25.86,15.58,0
2289137.0,-0.012,0.016,0.003,53.02,74.05,0
2289142.0,0.005,-0.008,-0.016,-25.03,-162.35,0
2289147.0,-0.007,0.004,-0.025,9.13,164.7,0
2289152.0,-0.019,0.009,0.044,10.65,23.24,0
2289157.0,0.003,0.002,-0.013,7.65,-168.89,0
2289162.0,-0.009,-0.005,0.008,-23.35,48.92,0
2289167.0,0.003,-0.008,0.008,-42.14,-17.93,0
2289172.0,0.003,-0.02,-0.013,-55.27,-168.89,0
2289177.0,0.012,-0.02,-0.03,-31.2,-157.96,0
2289182.0,-0.017,-0.003,0.008,-9.11,63.77,0
2289187.0,-0.019,0.004,-0.04,5.49,154.55,0
2289192.0,-0.012,0.031,-0.018,54.69,147.19,0
2289197.0,-0.024,-0.022,-0.001,-42.95,93.47,0
2289202.0,0.003,0.014,0.013,46.3,-11.51,0
2289207.0,-0.024,0.026,0.037,30.46,32.74,0
2289212.0,0.01,0.007,-0.001,33.73,-98.32,0
2289217.0,0.01,0.021,-0.006,61.02,-122.38,0
2289222.0,-0.005,0.016,-0.001,73.59,107.52,0
2289227.0,-0.002,0.014,-0.047,16.38,177.37,0
2289232.0,-0.012,0.011,-0.03,19.42,158.75,0
2289237.0,-0.005,0.009,0.03,16.71,8.71,0
2289242.0,0.0,0.021,0.03,35.26,-0.46,0
2289247.0,0.007,0.002,0.027,3.71,-15.21,0
2289252.0,0.012,0.016,0.003,51.99,-74.65,0
2289257.0,0.007,-0.015,-0.004,-60.77,-117.3,0
2289262.0,0.0,-0.005,0.03,-10.21,-0.46,0
2289267.0,-0.038,0.038,0.03,38.02,52.05,0
2289272.0,0.019,-0.013,0.011,-29.58,-61.49,0
2289277.0,-0.009,-0.025,-0.016,-53.16,149.42,0
2289282.0,0.031,-0.008,-0.035,-9.36,-138.1,0
2289287.0,-0.024,0.026,0.008,45.81,71.05,0
2289292.0,0.034,-0.015,-0.016,-21.82,-115.08,0
2289297.0,-0.012,0.021,-0.013,49.68,138.81,0
2289302.0,-0.005,0.026,-0.006,73.35,143.84,0
2289307.0,0.017,0.014,0.011,34.62,-58.21,0
2289312.0,-0.007,0.002,-0.011,8.03,147.77,0
2289317.0,-0.002,-0.005,-0.006,-39.07,160.91,0
2289322.0,0.012,-0.022,0.011,-53.89,-49.21,0
2289327.0,-0.007,-0.003,0.02,-7.9,19.05,0
2289332.0,-0.012,0.016,-0.004,52.7,108.08,0
2289337.0,0.0,0.009,-0.023,21.42,-179.4,0
2289342.0,0.01,0.007,-0.016,19.6,-148.15,0
2289347.0,0.015,0.033,-0.023,50.44,-147.57,0
2289352.0,0.0,0.021,-0.035,30.98,-179.61,0
2289357.0,-0.005,0.002,-0.004,17.15,130.1,0
2289362.0,0.005,0.019,-0.021,41.26,-166.28,0
2289367.0,0.036,0.016,0.018,21.92,-63.89,0
2289372.0,-0.007,0.009,-0.042,11.92,170.64,0
2289377.0,0.0,0.023,-0.004,80.68,-176.42,0
2289382.0,0.022,0.016,-0.018,29.72,-129.87,0
2289387.0,0.0,0.011,-0.03,20.72,-179.55,0
2289392.0,0.012,0.011,0.008,37.87,-56.31,0
2289397.0,0.0,-0.005,-0.057,-5.41,-179.76,0
2289402.0,0.022,0.007,-0.021,12.46,-133.38,0
2289407.0,0.0,-0.003,0.02,-8.35,-0.68,0
2289412.0,0.0,0.009,-0.006,55.37,-177.8,0
2289417.0,0.012,-0.01,-0.009,-34.14,-125.22,0
2289422.0,-0.012,0.011,-0.013,32.64,138.81,0
2289427.0,-0.019,-0.013,0.003,-33.12,79.95,0
2289432.0,0.015,0.016,0.018,35.21,-39.5,0
2289437.0,0.0,0.007,-0.033,11.5,-179.58,0
2289442.0,0.015,-0.015,-0.049,-16.18,-163.51,0
2289447.0,0.019,0.009,0.003,24.62,-80.19,0
2289452.0,0.024,0.004,0.011,9.11,-66.46,0
2289457.0,-0.005,0.026,0.025,45.52,10.35,0
2289462.0,0.022,0.019,0.023,30.69,-44.07,0
2289467.0,0.012,0.007,0.034,10.27,-19.5,0
2289472.0,-0.021,0.007,0.011,15.57,63.69,0
2289477.0,-0.014,0.021,-0.023,37.88,148.43,0
2289482.0,-0.009,0.031,0.008,67.94,48.92,0
2289487.0,-0.009,0.021,-0.061,18.7,171.34,0
2289492.0,-0.014,0.009,-0.006,30.29,113.78,0
2289497.0,-0.005,-0.022,0.001,-78.12,78.1,0
2289502.0,-0.017,0.021,0.006,50.19,70.82,0
2289507.0,-0.031,-0.005,-0.021,-8.2,123.69,0
2289512.0,-0.024,-0.001,-0.004,-1.33,99.18,0
2289517.0,0.019,0.021,0.015,40.34,-51.69,0
2289522.0,0.007,0.009,-0.009,38.41,-139.27,0
2289527.0,0.017,-0.001,0.013,-1.5,-52.74,0
2289532.0,0.003,-0.02,0.018,-47.74,-8.45,0
2289537.0,0.003,0.019,-0.011,58.66,-166.55,0
2289542.0,-0.002,0.021,0.006,73.7,20.55,0
2289547.0,0.015,0.019,-0.016,40.83,-137.25,0
2289552.0,0.012,0.023,-0.025,39.7,-154.31,0
2289557.0,0.01,0.007,-0.004,32.16,-111.31,0
2289562.0,-0.005,0.014,-0.004,66.7,130.1,0
2289567.0,0.005,0.026,0.023,48.18,-12.59,0
2289572.0,-0.021,0.014,0.03,20.7,35.67,0
2289577.0,-0.024,0.026,-0.018,40.78,127.51,0
2289582.0,0.0,0.009,0.008,47.92,-1.68,0
2289587.0,0.005,0.028,0.032,40.94,-8.91,0
2289592.0,0.003,-0.02,-0.033,-31.11,-175.38,0
2289597.0,0.007,0.019,0.011,55.28,-35.16,0
2289602.0,-0.009,0.007,0.054,6.94,9.88,0
2289607.0,0.0,0.004,-0.025,9.46,-179.46,0
2289612.0,-0.009,-0.008,-0.04,-10.74,166.78,0
2289617.0,-0.019,0.026,0.018,44.85,46.87,0
2289622.0,0.003,-0.001,0.042,-0.77,-3.62,0
2289627.0,-0.002,0.011,0.013,41.05,9.46,0
2289632.0,-0.007,0.011,-0.006,50.75,131.88,0
2289637.0,0.005,-0.025,0.001,-78.2,-79.21,0
2289642.0,0.01,-0.015,-0.001,-56.39,-98.32,0
2289647.0,-0.033,0.011,-0.021,16.26,121.74,0
2289652.0,-0.021,0.011,0.025,19.2,40.56,0
2289657.0,0.022,0.021,-0.035,27.0,-148.07,0
2289662.0,0.0,-0.01,0.03,-18.85,-0.46,0
2289667.0,0.015,0.031,0.011,59.5,-54.19,0
2289672.0,0.012,-0.008,0.015,-21.56,-38.55,0
2289677.0,0.005,0.021,0.018,48.73,-15.84,0
2289682.0,0.017,0.007,-0.047,7.56,-160.09,0
2289687.0,0.022,-0.001,0.015,-1.2,-54.88,0
2289692.0,0.007,0.021,-0.018,46.89,-157.81,0
2289697.0,0.005,-0.029,-0.004,-77.82,-127.3,0
2289702.0,0.022,0.007,-0.018,13.14,-129.87,0
2289707.0,0.003,-0.008,-0.016,-25.79,-170.54,0
2289712.0,0.019,0.004,0.006,11.81,-73.49,0
2289717.0,0.015,0.002,-0.052,1.96,-164.23,0
2289722.0,0.015,-0.013,-0.021,-26.4,-144.65,0
